TimeStamp, GSRValue
08:57:840,87
08:57:860,87
08:57:881,87
08:57:897,87
08:57:918,87
08:57:938,86
08:57:958,87
08:57:979,86
08:57:999,87
08:58:020,86
08:58:040,87
08:58:061,87
08:58:081,86
08:58:102,87
08:58:122,87
08:58:143,86
08:58:163,86
08:58:183,85
08:58:205,85
08:58:225,85
08:58:245,85
08:58:266,85
08:58:286,84
08:58:306,84
08:58:327,84
08:58:347,83
08:58:368,83
08:58:388,83
08:58:409,83
08:58:429,82
08:58:450,82
08:58:470,82
08:58:491,81
08:58:511,81
08:58:532,80
08:58:553,80
08:58:573,80
08:58:593,80
08:58:613,79
08:58:634,79
08:58:651,79
08:58:671,78
08:58:692,78
08:58:712,78
08:58:733,77
08:58:753,77
08:58:773,77
08:58:794,77
08:58:814,77
08:58:835,76
08:58:856,77
08:58:876,77
08:58:897,76
08:58:916,76
08:58:937,76
08:58:957,76
08:58:978,76
08:58:999,76
08:59:020,75
08:59:040,75
08:59:060,76
08:59:080,75
08:59:101,75
08:59:122,74
08:59:142,75
08:59:162,75
08:59:183,75
08:59:203,74
08:59:224,75
08:59:244,75
08:59:264,75
08:59:286,74
08:59:306,75
08:59:326,74
08:59:347,74
08:59:367,74
08:59:387,74
08:59:408,75
08:59:425,74
08:59:446,74
08:59:466,75
08:59:486,74
08:59:506,74
08:59:527,75
08:59:547,75
08:59:568,74
08:59:589,75
08:59:609,75
08:59:629,75
08:59:650,75
08:59:671,76
08:59:691,76
08:59:712,76
08:59:732,76
08:59:753,75
08:59:773,75
08:59:793,75
08:59:814,75
08:59:834,75
08:59:855,75
08:59:875,75
08:59:896,75
08:59:916,74
08:59:937,75
08:59:957,74
08:59:977,75
08:59:998,75
09:00:019,75
09:00:039,74
09:00:060,74
09:00:080,74
09:00:101,74
09:00:121,74
09:00:142,73
09:00:158,74
09:00:179,73
09:00:199,74
09:00:220,73
09:00:240,73
09:00:260,73
09:00:281,73
09:00:301,73
09:00:322,73
09:00:343,73
09:00:363,73
09:00:383,73
09:00:404,74
09:00:424,74
09:00:445,74
09:00:465,73
09:00:486,73
09:00:506,73
09:00:526,73
09:00:547,73
09:00:567,73
09:00:588,73
09:00:609,73
09:00:629,72
09:00:649,73
09:00:670,72
09:00:690,73
09:00:711,72
09:00:732,73
09:00:752,72
09:00:772,72
