TimeStamp, GSRValue
37:45:390,149
37:45:410,149
37:45:431,149
37:45:451,149
37:45:471,149
37:45:491,150
37:45:512,149
37:45:532,149
37:45:553,150
37:45:573,149
37:45:593,149
37:45:614,149
37:45:635,149
37:45:655,149
37:45:676,149
37:45:696,149
37:45:717,149
37:45:738,149
37:45:758,149
37:45:778,149
37:45:799,149
37:45:819,149
37:45:840,149
37:45:861,149
37:45:880,149
37:45:901,149
37:45:921,149
37:45:942,150
37:45:962,149
37:45:983,149
37:46:004,150
37:46:025,149
37:46:045,149
37:46:066,149
37:46:085,149
37:46:106,150
37:46:127,149
37:46:147,150
37:46:167,149
37:46:188,150
37:46:209,149
37:46:229,149
37:46:250,150
37:46:269,149
37:46:290,150
37:46:311,150
37:46:331,150
37:46:352,150
37:46:368,150
37:46:393,150
37:46:410,150
37:46:430,150
37:46:450,149
37:46:471,150
37:46:491,149
37:46:512,150
37:46:532,150
37:46:552,149
37:46:573,150
37:46:593,150
37:46:614,150
37:46:635,150
37:46:655,149
37:46:675,150
37:46:696,150
37:46:716,150
37:46:736,150
37:46:758,150
37:46:777,150
37:46:798,150
37:46:819,149
37:46:839,150
37:46:860,150
37:46:880,150
37:46:901,150
37:46:921,150
37:46:941,150
37:46:962,150
37:46:982,150
37:47:003,150
37:47:024,150
37:47:044,150
37:47:065,150
37:47:085,150
37:47:105,150
37:47:126,150
37:47:146,151
37:47:167,150
37:47:188,151
37:47:208,150
37:47:229,150
37:47:249,150
37:47:269,150
37:47:290,150
37:47:310,150
37:47:331,150
37:47:351,150
37:47:372,150
37:47:392,150
37:47:413,151
37:47:433,150
37:47:454,150
37:47:474,150
37:47:494,150
37:47:515,151
37:47:536,150
37:47:556,150
37:47:576,150
37:47:597,150
37:47:617,150
37:47:638,150
37:47:659,150
37:47:679,150
37:47:700,150
37:47:719,150
37:47:736,150
37:47:761,150
37:47:777,150
37:47:798,150
37:47:818,150
37:47:839,150
37:47:859,150
37:47:880,150
37:47:900,150
37:47:921,150
37:47:941,150
37:47:961,151
37:47:982,150
37:48:003,151
37:48:023,151
37:48:044,150
37:48:064,150
37:48:085,151
37:48:105,150
37:48:125,150
37:48:146,149
37:48:166,150
37:48:187,150
37:48:208,150
37:48:227,150
37:48:248,150
37:48:268,151
37:48:289,150
37:48:310,150
37:48:330,150
37:48:350,150
